age,marital,housing,duration,y
29,single,yes,235,no
33,married,yes,273,no
34,married,yes,51,no
44,divorced,yes,18,no
33,single,yes,531,yes
32,married,yes,307,no
46,single,yes,24,no
59,married,yes,69,no
26,single,no,243,no
35,married,no,895,yes
62,married,no,154,no
36,married,yes,893,no
31,divorced,no,255,no
37,single,yes,192,no
32,single,no,14,no
35,married,no,1175,yes
30,married,no,225,no
38,single,yes,72,no
47,divorced,no,1869,no
18,single,no,271,yes
57,married,no,324,no
45,married,no,164,no
35,divorced,yes,121,yes
41,married,no,107,no
29,married,no,413,no
53,divorced,no,60,no
44,married,yes,460,no
31,married,yes,298,no
31,married,yes,12,no
36,single,no,385,no
77,divorced,no,155,no
57,married,no,369,no
28,married,no,115,no
33,divorced,yes,464,no
25,single,no,554,yes
31,single,yes,367,no
34,single,yes,183,no
49,divorced,no,55,no
38,married,no,182,no
38,married,no,539,yes
30,single,yes,157,no
29,single,no,90,no
31,married,no,481,no
47,married,yes,85,no
30,single,yes,195,no
47,divorced,no,298,no
58,married,yes,528,no
38,married,no,179,no
37,single,yes,390,no
28,married,yes,173,no
46,married,no,269,yes
47,married,yes,219,no
48,married,yes,178,no
57,divorced,no,655,yes
32,divorced,yes,151,no
31,married,no,350,no
33,single,yes,32,no
32,single,yes,210,yes
39,divorced,no,199,no
31,single,yes,174,no
50,married,yes,102,no
28,single,no,73,no
35,married,no,433,yes
58,divorced,no,128,no
57,divorced,no,405,no
60,married,no,181,yes
47,married,no,114,no
32,single,yes,134,no
41,divorced,yes,99,no
33,married,yes,220,no
33,married,no,130,no
39,married,yes,187,no
50,married,yes,92,no
33,single,no,277,no
40,married,yes,228,no
38,divorced,no,764,yes
29,married,no,273,no
52,divorced,no,188,no
40,married,no,104,no
38,married,yes,157,no
58,divorced,no,418,yes
40,married,yes,957,yes
32,single,unknown,59,no
33,divorced,yes,180,no
29,married,no,492,no
31,single,no,20,no
53,married,no,523,yes
58,divorced,no,143,no
34,single,yes,300,no
45,married,yes,266,no
31,divorced,yes,176,no
38,single,yes,403,no
41,single,no,96,no
44,married,yes,61,no
51,married,no,177,no
30,single,yes,464,no
38,single,no,270,no
31,single,no,279,yes
41,divorced,yes,380,no
33,married,yes,730,no
45,divorced,unknown,170,no
34,married,no,142,no
36,single,no,186,no
60,married,yes,416,yes
55,married,no,594,no
59,married,yes,92,no
32,married,no,172,no
31,single,yes,239,yes
33,single,yes,257,yes
29,divorced,no,282,no
84,married,no,351,yes
38,single,yes,7,no
42,single,no,145,no
39,divorced,yes,408,no
33,married,yes,233,yes
44,married,yes,76,no
56,married,no,92,no
35,married,yes,108,no
33,divorced,yes,105,no
31,married,yes,186,no
32,single,no,61,no
31,single,no,246,no
45,married,yes,216,no
33,married,no,157,no
34,single,yes,79,no
40,single,no,245,no
29,married,yes,126,no
30,married,no,3094,yes
60,divorced,no,781,no
32,single,yes,242,no
53,divorced,no,249,no
38,married,yes,302,no
42,married,yes,168,no
51,divorced,yes,135,no
50,married,no,93,no
38,married,no,266,no
53,married,yes,251,no
30,single,yes,323,no
37,married,yes,204,no
72,married,yes,207,yes
25,single,yes,292,no
41,married,yes,52,no
39,single,yes,6,no
26,married,yes,514,no
32,married,no,132,no
45,married,no,158,no
59,married,yes,76,no
44,married,yes,115,no
75,divorced,no,135,no
58,married,no,1092,no
33,married,yes,106,no
43,married,yes,268,no
34,married,yes,203,no
47,divorced,yes,30,no
28,single,no,437,no
47,married,yes,57,no
28,single,yes,263,yes
40,married,no,247,no
51,married,yes,34,no
